id,name,urban_area,state_code,state,postcode,type,latitude,longitude,elevation,population,median_income,area_sq_km,local_government_area,region,time_zone
253,Annandale,Townsville,QLD,Queensland,4814,Suburb,-19.31109,146.78764,10,8376,48412,6.84000,Townsville,Townsville,Australia/Brisbane
254,Annangrove,,NSW,New South Wales,2156,Rural locality,-33.65777,150.94351,82,1472,46748,10.24600,The Hills Shire,Sydney - Baulkham Hills and Hawkesbury,Australia/Sydney
255,Annerley,Brisbane,QLD,Queensland,4103,Suburb,-27.51161,153.03183,45,11891,49816,2.87600,Brisbane,Brisbane - South,Australia/Brisbane
256,Anniebrook,,WA,Western Australia,6280,Rural locality,-33.66919,115.16909,15,53,28600,13.26300,Busselton,Bunbury,Australia/Perth
257,Annuello,,VIC,Victoria,3549,Rural locality,-34.84770,142.83012,61,40,38428,320.81100,Swan Hill,North West,Australia/Melbourne
258,Ansons Bay,,TAS,Tasmania,7264,Rural locality,-41.03789,148.26834,12,62,20436,229.35100,Break O'Day,Launceston and North East,Australia/Hobart
259,Anstead,Brisbane,QLD,Queensland,4070,Suburb,-27.54559,152.87227,20,1522,55848,13.85200,Brisbane,Brisbane - West,Australia/Brisbane
260,Antechamber Bay,,SA,South Australia,5222,Rural locality,-35.80174,138.07272,10,13,24648,14.93600,Kangaroo Island,South Australia - South East,Australia/Adelaide
261,Anthony,,QLD,Queensland,4310,Rural locality,-27.87818,152.68408,97,133,32760,13.83400,Scenic Rim,Ipswich,Australia/Brisbane
262,Antigua,,QLD,Queensland,4650,Rural locality,-25.63821,152.60253,40,126,26572,17.17000,Fraser Coast,Wide Bay,Australia/Brisbane
263,Antill Ponds,,TAS,Tasmania,7120,Rural locality,-42.20401,147.40135,293,13,35724,40.48200,Southern Midlands,South East,Australia/Hobart
264,Antonymyre,,WA,Western Australia,6714,Rural locality,-20.66316,117.09337,8,0,0,25.77400,Karratha,Western Australia - Outback (North),Australia/Perth
265,Antwerp,,VIC,Victoria,3414,Rural locality,-36.29842,142.02456,100,53,31148,132.78800,Hindmarsh,North West,Australia/Melbourne
266,Anula,Darwin,NT,Northern Territory,0812,Suburb,-12.39191,130.89015,37,2385,53768,1.31800,Darwin,Darwin,Australia/Darwin
267,Apamurra,,SA,South Australia,5237,Rural locality,-34.85524,139.19677,159,11,24648,3.74200,Mid Murray,South Australia - South East,Australia/Adelaide
268,Apoinga,,SA,South Australia,5413,Rural locality,-33.92808,138.93758,468,29,22100,51.62500,Goyder,Barossa - Yorke - Mid North,Australia/Adelaide
269,Apollo Bay,,TAS,Tasmania,7150,Rural locality,-43.15912,147.29609,29,38,37700,2.29500,Kingborough,South East,Australia/Hobart
270,Apollo Bay,,VIC,Victoria,3233,Urban locality,-38.74843,143.67043,1,1790,36140,86.91500,Colac Otway,Warrnambool and South West,Australia/Melbourne
271,Appila,,SA,South Australia,5480,Rural locality,-33.05054,138.42808,371,91,37128,120.15500,Mount Remarkable,Barossa - Yorke - Mid North,Australia/Adelaide
272,Appin,,NSW,New South Wales,2560,Urban locality,-34.20089,150.78748,242,3213,50492,102.05500,Wollondilly,Sydney - Outer South West,Australia/Sydney
273,Appin,,VIC,Victoria,3579,Rural locality,-35.88565,143.87805,82,12,23400,37.80800,Gannawarra,North West,Australia/Melbourne
274,Appin South,,VIC,Victoria,3579,Rural locality,-35.94096,143.85991,86,38,39624,51.53300,Loddon,Bendigo,Australia/Melbourne
275,Appleby,,NSW,New South Wales,2340,Rural locality,-30.96493,150.82515,365,35,34788,18.15200,Tamworth Regional,New England and North West,Australia/Sydney
276,Applecross,Perth,WA,Western Australia,6153,Suburb,-32.01940,115.83322,10,7228,60684,3.19500,Melville,Perth - South West,Australia/Perth
277,Applethorpe,,QLD,Queensland,4378,Rural locality,-28.61395,151.95549,880,571,30628,46.70800,Southern Downs,Darling Downs - Maranoa,Australia/Brisbane
278,Apple Tree Creek,,QLD,Queensland,4660,Urban locality,-25.21521,152.23400,80,726,28288,23.87900,Bundaberg,Wide Bay,Australia/Brisbane
279,Appletree Flat,,NSW,New South Wales,2330,Rural locality,-32.51231,150.86485,111,16,66248,28.53200,Singleton,Hunter Valley exc Newcastle,Australia/Sydney
280,Apple Tree Flat,,NSW,New South Wales,2850,Rural locality,-32.68522,149.70505,490,46,46748,17.02200,Mid-Western Regional,Central West,Australia/Sydney
281,Apslawn,,TAS,Tasmania,7190,Rural locality,-41.95662,148.16487,43,15,36400,76.21100,Glamorgan-Spring Bay,South East,Australia/Hobart
282,Apsley,,NSW,New South Wales,2820,Rural locality,-32.59836,148.96393,337,116,35360,28.23000,Dubbo Regional,Far West and Orana,Australia/Sydney
283,Apsley,,TAS,Tasmania,7030,Rural locality,-42.41812,147.13831,297,44,55224,68.36400,Central Highlands,South East,Australia/Hobart
284,Apsley,,VIC,Victoria,3319,Rural locality,-36.96756,141.08075,108,329,36504,332.11700,West Wimmera,North West,Australia/Melbourne
285,Arable,,NSW,New South Wales,2630,Rural locality,-36.36737,148.94553,910,21,82316,116.32700,Snowy Monaro Regional,Capital Region,Australia/Sydney
286,Arakoon,South West Rocks,NSW,New South Wales,2431,Suburb,-30.88823,153.06696,12,445,30992,24.79400,Kempsey,Mid North Coast,Australia/Sydney
287,Araluen,,NSW,New South Wales,2622,Rural locality,-35.64693,149.81215,155,209,34112,121.27400,Queanbeyan-Palerang Regional,Capital Region,Australia/Sydney
288,Araluen,Alice Springs,NT,Northern Territory,0870,Suburb,-23.70239,133.84954,585,2673,66612,4.14700,Alice Springs,Northern Territory - Outback,Australia/Darwin
289,Araluen,,QLD,Queensland,4570,Rural locality,-26.15949,152.66767,104,649,32032,6.56800,Gympie,Wide Bay,Australia/Brisbane
290,Aramac,,QLD,Queensland,4726,Urban locality,-22.97216,145.24543,229,372,39104,13502.60000,Barcaldine,Queensland - Outback,Australia/Brisbane
291,Aramara,,QLD,Queensland,4620,Rural locality,-25.61128,152.32592,129,71,18512,74.82700,Fraser Coast,Wide Bay,Australia/Brisbane
292,Arana Hills,Brisbane,QLD,Queensland,4054,Suburb,-27.39752,152.95954,46,6971,52260,3.65400,Moreton Bay,Moreton Bay - South,Australia/Brisbane
293,Aranbanga,,QLD,Queensland,4625,Rural locality,-25.80681,151.67007,314,15,27924,221.39100,North Burnett,Wide Bay,Australia/Brisbane
294,Aranda,Canberra,ACT,Australian Capital Territory,2614,Suburb,-35.25796,149.07565,632,2605,71344,1.56300,Unincorporated,Australian Capital Territory,Australia/Sydney
295,Ararat,,VIC,Victoria,3377,Urban locality,-37.28430,142.92823,336,8500,35412,161.17900,Ararat,North West,Australia/Melbourne
296,Aratula,,NSW,New South Wales,2714,Rural locality,-35.78620,145.29243,108,4,58500,163.38200,Murray River,Murray,Australia/Sydney
297,Aratula,,QLD,Queensland,4309,Urban locality,-27.98146,152.54862,112,609,32032,26.24700,Scenic Rim,Ipswich,Australia/Brisbane
298,Arawata,,VIC,Victoria,3951,Rural locality,-38.39491,145.88822,280,92,38428,22.53900,South Gippsland,Latrobe - Gippsland,Australia/Melbourne
299,Arbouin,,QLD,Queensland,4892,Rural locality,-17.06157,143.99539,242,4,42848,1062.03200,Mareeba,Queensland - Outback,Australia/Brisbane
300,Arbuckle,,VIC,Victoria,3858,Rural locality,-37.36904,146.82917,1306,0,0,150.50600,Wellington,Latrobe - Gippsland,Australia/Melbourne
301,Arcadia,,NSW,New South Wales,2159,Rural locality,-33.62310,151.05273,216,1475,47840,22.40900,Hornsby,Sydney - Baulkham Hills and Hawkesbury,Australia/Sydney
302,Arcadia,,QLD,Queensland,4819,Urban locality,-19.15104,146.86423,10,246,32552,5.85100,Townsville,Townsville,Australia/Brisbane
303,Arcadia,,VIC,Victoria,3631,Rural locality,-36.54160,145.36256,124,212,40508,76.04900,Greater Shepparton,Shepparton,Australia/Melbourne
304,Arcadia South,,VIC,Victoria,3631,Rural locality,-36.59378,145.38112,129,95,38428,69.50700,Strathbogie,Hume,Australia/Melbourne
305,Arcadia Vale,Newcastle,NSW,New South Wales,2283,Suburb,-33.06034,151.57582,34,1431,38896,1.34600,Lake Macquarie,Newcastle and Lake Macquarie,Australia/Sydney
306,Arcadia Valley,,QLD,Queensland,4702,Rural locality,-25.02985,148.81407,537,141,54704,2115.80400,Central Highlands,Central Queensland,Australia/Brisbane
307,Archdale,,VIC,Victoria,3475,Rural locality,-36.83090,143.50230,204,23,18200,41.46400,Central Goldfields,Ballarat,Australia/Melbourne
308,Archdale Junction,,VIC,Victoria,3475,Rural locality,-36.88492,143.51731,204,12,97500,38.09900,Central Goldfields,Ballarat,Australia/Melbourne
309,Archer,,NT,Northern Territory,0830,Rural locality,-12.51182,130.97059,13,3,42848,11.32500,Palmerston,Darwin,Australia/Darwin
310,Archerfield,Brisbane,QLD,Queensland,4108,Suburb,-27.56839,153.02417,15,533,35672,4.47800,Brisbane,Brisbane - South,Australia/Brisbane
311,Archer River,,QLD,Queensland,4892,Rural locality,-13.34792,142.52661,82,27,40248,9381.43100,Cook,Queensland - Outback,Australia/Brisbane
312,Archerton,,VIC,Victoria,3723,Rural locality,-36.89447,146.25651,945,16,19916,78.97100,Benalla,Hume,Australia/Melbourne
313,Archies Creek,,VIC,Victoria,3995,Rural locality,-38.54829,145.56373,25,32,24232,0.06900,Bass Coast,Latrobe - Gippsland,Australia/Melbourne
314,Arcoona,,SA,South Australia,5720,Rural locality,-31.20422,137.19217,94,82,99424,6823.44600,Unincorporated,South Australia - Outback,Australia/Adelaide
315,Arcturus,,QLD,Queensland,4722,Rural locality,-23.98933,148.33948,197,130,56524,1206.34300,Central Highlands,Central Queensland,Australia/Brisbane
316,Ardath,,WA,Western Australia,6419,Rural locality,-32.03476,118.10277,280,51,40248,358.31100,Bruce Rock,Western Australia - Wheat Belt,Australia/Perth
317,Ardeer,Melbourne,VIC,Victoria,3022,Suburb,-37.77596,144.80104,46,3170,36296,2.13100,Brimbank,Melbourne - West,Australia/Melbourne
318,Ardglen,,NSW,New South Wales,2338,Rural locality,-31.73451,150.78559,627,50,29900,72.27300,Liverpool Plains,New England and North West,Australia/Sydney
319,Arding,,NSW,New South Wales,2358,Rural locality,-30.58855,151.55675,1053,182,37388,54.77100,Uralla,New England and North West,Australia/Sydney
320,Ardlethan,,NSW,New South Wales,2665,Urban locality,-34.35736,146.90340,203,472,24232,538.87300,Coolamon,Riverina,Australia/Sydney
321,Ardmona,,VIC,Victoria,3629,Rural locality,-36.37854,145.29537,110,497,39260,39.21100,Greater Shepparton,Shepparton,Australia/Melbourne
322,Ardross,Perth,WA,Western Australia,6153,Suburb,-32.02488,115.84141,19,4578,52052,2.25900,Melville,Perth - South West,Australia/Perth
323,Ardrossan,,SA,South Australia,5571,Urban locality,-34.42295,137.91681,33,1269,25740,24.31800,Yorke Peninsula,Barossa - Yorke - Mid North,Australia/Adelaide
324,Areegra,,VIC,Victoria,3480,Rural locality,-36.23825,142.68032,112,18,61724,114.86500,Yarriambiack,North West,Australia/Melbourne
325,Areyonga,,NT,Northern Territory,0872,Urban locality,-24.07205,132.26771,675,236,12064,6.98100,MacDonnell,Northern Territory - Outback,Australia/Darwin
326,Argalong,,NSW,New South Wales,2720,Rural locality,-35.31550,148.45387,770,16,39624,132.30300,Snowy Valleys,Riverina,Australia/Sydney
327,Argenton,Newcastle,NSW,New South Wales,2284,Suburb,-32.93481,151.63088,8,1352,32032,1.52300,Lake Macquarie,Newcastle and Lake Macquarie,Australia/Sydney
328,Argents Hill,,NSW,New South Wales,2449,Rural locality,-30.62195,152.74633,92,207,27300,76.25500,Nambucca Valley,Mid North Coast,Australia/Sydney
329,Argoon,,NSW,New South Wales,2707,Rural locality,-34.85828,145.67415,113,16,68224,247.12500,Murrumbidgee,Riverina,Australia/Sydney
330,Argyle,,VIC,Victoria,3523,Rural locality,-36.96738,144.71689,307,272,25844,19.93000,Greater Bendigo,Bendigo,Australia/Melbourne
331,Argyle,,WA,Western Australia,6239,Rural locality,-33.54822,115.76634,61,575,43212,13.79300,Donnybrook-Balingup,Bunbury,Australia/Perth
332,Argyll,,QLD,Queensland,4721,Rural locality,-23.27732,147.56250,351,25,69316,1240.42700,Central Highlands,Central Queensland,Australia/Brisbane
333,Ariah Park,,NSW,New South Wales,2665,Urban locality,-34.34811,147.22122,253,439,31252,489.99100,Temora,Riverina,Australia/Sydney
334,Arkaroola,,SA,South Australia,5732,Rural locality,-30.13370,139.64033,215,32,68224,6058.80800,Unincorporated,South Australia - Outback,Australia/Adelaide
335,Arkell,,NSW,New South Wales,2795,Rural locality,-33.72778,149.38295,944,36,35724,66.86000,Bathurst Regional,Central West,Australia/Sydney
336,Arkstone,,NSW,New South Wales,2795,Rural locality,-34.04242,149.64425,957,24,58500,79.37100,Oberon,Central West,Australia/Sydney
337,Armadale,Melbourne,VIC,Victoria,3143,Suburb,-37.85532,145.01914,48,9368,70408,2.14300,Stonnington,Melbourne - Inner,Australia/Melbourne
338,Armadale,Perth,WA,Western Australia,6112,Suburb,-32.15239,116.00827,55,13415,29016,8.28300,Armadale,Perth - South East,Australia/Perth
339,Armagh,,SA,South Australia,5453,Rural locality,-33.83679,138.57943,401,351,46956,16.19000,Clare and Gilbert Valleys,Barossa - Yorke - Mid North,Australia/Adelaide
340,Armatree,,NSW,New South Wales,2828,Rural locality,-31.44798,148.46345,240,164,41964,484.98000,Gilgandra,Far West and Orana,Australia/Sydney
341,Armidale,,NSW,New South Wales,2350,Major urban locality,-30.51417,151.66899,979,23967,37960,274.60000,Armidale Regional,New England and North West,Australia/Sydney
342,Armstrong,,VIC,Victoria,3377,Rural locality,-37.21003,142.88499,306,90,42640,19.18500,Ararat,North West,Australia/Melbourne
343,Armstrong Beach,,QLD,Queensland,4737,Urban locality,-21.45491,149.28956,10,903,41444,22.23600,Mackay,Mackay - Isaac - Whitsunday,Australia/Brisbane
344,Armstrong Creek,,QLD,Queensland,4520,Rural locality,-27.22574,152.82965,73,328,50440,34.30500,Moreton Bay,Moreton Bay - South,Australia/Brisbane
345,Armstrong Creek,Geelong,VIC,Victoria,3217,Suburb,-38.23391,144.37108,12,11247,51844,18.34300,Greater Geelong,Geelong,Australia/Melbourne
346,Arncliffe,Sydney,NSW,New South Wales,2205,Suburb,-33.93632,151.14469,26,12023,44512,2.94300,Bayside,Sydney - Inner South West,Australia/Sydney
347,Arndell Park,Sydney,NSW,New South Wales,2148,Suburb,-33.78727,150.87196,45,6,62816,2.00100,Blacktown,Sydney - Blacktown,Australia/Sydney
348,Arno Bay,,SA,South Australia,5603,Urban locality,-33.91190,136.56835,2,314,30264,233.63400,Cleve,South Australia - Outback,Australia/Adelaide
349,Arnold,,NT,Northern Territory,0852,Rural locality,-15.80974,134.14711,145,75,71500,18238.47500,Roper Gulf,Northern Territory - Outback,Australia/Darwin
350,Arnold,,VIC,Victoria,3551,Rural locality,-36.69082,143.86837,163,56,37700,49.49000,Loddon,Bendigo,Australia/Melbourne
351,Arnold West,,VIC,Victoria,3551,Rural locality,-36.66177,143.76205,199,19,29900,34.54900,Loddon,Bendigo,Australia/Melbourne
352,Aroona,Sunshine Coast,QLD,Queensland,4551,Suburb,-26.77538,153.11317,16,3466,40300,1.89200,Sunshine Coast,Sunshine Coast,Australia/Brisbane
353,Arrawarra,,NSW,New South Wales,2456,Urban locality,-30.05960,153.18789,15,591,26312,2.81800,Coffs Harbour,Coffs Harbour - Grafton,Australia/Sydney
354,Arrawarra Headland,,NSW,New South Wales,2456,Urban locality,-30.05977,153.20274,13,615,35256,2.68000,Coffs Harbour,Coffs Harbour - Grafton,Australia/Sydney
355,Arriga,,QLD,Queensland,4880,Rural locality,-17.10991,145.30199,501,1323,48048,155.72000,Mareeba,Queensland - Outback,Australia/Brisbane
356,Arrino,,WA,Western Australia,6519,Rural locality,-29.44006,115.62837,267,48,37700,398.72600,Three Springs,Western Australia - Outback (South),Australia/Perth
357,Arrowsmith,,WA,Western Australia,6525,Rural locality,-29.54356,115.06993,32,17,20748,820.67000,Irwin,Western Australia - Outback (South),Australia/Perth
358,Arrowsmith East,,WA,Western Australia,6519,Rural locality,-29.61460,115.34013,196,61,72748,812.01100,Three Springs,Western Australia - Outback (South),Australia/Perth
359,Artarmon,Sydney,NSW,New South Wales,2064,Suburb,-33.80943,151.18566,86,9417,62504,2.53500,Willoughby,Sydney - North Sydney and Hornsby,Australia/Sydney
360,Arthur River,,TAS,Tasmania,7330,Rural locality,-41.05955,144.68187,39,32,22048,38.59100,Circular Head,West and North West,Australia/Hobart
361,Arthur River,,WA,Western Australia,6315,Rural locality,-33.33805,117.03417,290,66,51220,477.25600,West Arthur,Western Australia - Wheat Belt,Australia/Perth
362,Arthurs Creek,,VIC,Victoria,3099,Rural locality,-37.58770,145.21816,132,478,43368,39.17500,Nillumbik,Melbourne - North East,Australia/Melbourne
363,Arthurs Lake,,TAS,Tasmania,7030,Rural locality,-42.00249,146.96593,958,9,24232,215.31200,Central Highlands,South East,Australia/Hobart
364,Arthurs Seat,,VIC,Victoria,3936,Urban locality,-38.35443,144.94979,308,414,49504,8.81500,Mornington Peninsula,Mornington Peninsula,Australia/Melbourne
